iter	Passed	Remaining
0	2	235
1	4	222
2	6	208
3	8	200
4	10	195
5	12	190
6	14	187
7	15	183
8	17	180
9	19	177
10	21	175
11	23	172
12	25	169
13	27	171
14	30	170
15	32	169
16	34	168
17	36	167
18	38	165
19	40	162
20	43	162
21	45	160
22	47	157
23	49	155
24	51	153
25	53	151
26	55	149
27	57	147
28	59	146
29	61	144
30	63	141
31	65	139
32	67	137
33	70	136
34	72	134
35	74	132
36	76	130
37	78	128
38	80	126
39	83	124
40	85	122
41	87	120
42	89	118
43	90	115
44	92	113
45	94	111
46	96	109
47	99	107
48	101	105
49	103	103
50	106	102
51	108	100
52	110	98
53	113	96
54	115	94
55	117	92
56	120	90
57	122	88
58	124	86
59	126	84
60	128	82
61	130	79
62	132	78
63	134	75
64	137	73
65	139	71
66	141	69
67	144	67
68	146	65
69	148	63
70	150	61
71	152	59
72	154	57
73	157	55
74	159	53
75	161	51
76	163	48
77	165	46
78	167	44
79	169	42
80	171	40
81	173	38
82	175	36
83	177	33
84	179	31
85	181	29
86	183	27
87	185	25
88	187	23
89	189	21
90	191	18
91	192	16
92	194	14
93	196	12
94	198	10
95	200	8
96	202	6
97	204	4
98	207	2
99	209	0
